YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2022,2,5,01-05-2022 12:00:00 AM,9E,N181GJ,4678,10257,1025702,30257,ALB,11433,1143302,31295,DTW,0935,0930,0.00,0.00,,75.00,489.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N181GJ,5074,12478,1247805,31703,JFK,11433,1143302,31295,DTW,1715,1710,0.00,0.00,,81.00,509.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N181GJ,5301,11433,1143302,31295,DTW,11193,1119302,33105,CVG,1215,1223,8.00,0.00,,41.00,229.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N181PQ,4712,14524,1452401,34524,RIC,11433,1143302,31295,DTW,1215,1210,0.00,0.00,,71.00,456.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N181PQ,4939,11433,1143302,31295,DTW,11995,1199502,31995,GSO,1451,1446,0.00,0.00,,79.00,460.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N195PQ,4713,14524,1452401,34524,RIC,11433,1143302,31295,DTW,1730,1754,24.00,0.00,,75.00,456.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N195PQ,5423,11433,1143302,31295,DTW,12478,1247805,31703,JFK,2050,2049,0.00,0.00,,78.00,509.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N228PQ,4734,11995,1199502,31995,GSO,11433,1143302,31295,DTW,1815,1810,0.00,0.00,,67.00,460.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N228PQ,4883,11433,1143302,31295,DTW,11423,1142307,31423,DSM,2050,2044,0.00,0.00,,80.00,534.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N272PQ,5124,12339,1233904,32337,IND,11433,1143302,31295,DTW,1845,1840,0.00,0.00,,43.00,231.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N293PQ,5358,11433,1143302,31295,DTW,12339,1233904,32337,IND,1558,1558,0.00,0.00,,41.00,231.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N294PQ,5258,11433,1143302,31295,DTW,11193,1119302,33105,CVG,0855,0850,0.00,0.00,,41.00,229.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N308PQ,5045,11193,1119302,33105,CVG,11433,1143302,31295,DTW,1409,1359,0.00,0.00,,45.00,229.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N308PQ,5398,11433,1143302,31295,DTW,12478,1247805,31703,JFK,1615,1607,0.00,0.00,,77.00,509.00,
2022,2,5,01-05-2022 12:00:00 AM,9E,N313PQ,4915,11423,1142307,31423,DSM,11433,1143302,31295,DTW,0645,0647,2.00,0.00,,77.00,534.00,
