YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2022,2,6,01/06/2022 12:00:00 AM,9E,N133EV,4779,11986,1198603,31986,GRR,12953,1295304,31703,LGA,0700,0655,0.00,0.00,,79.00,618.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N147PQ,4678,10257,1025702,30257,ALB,11433,1143302,31295,DTW,0940,0938,0.00,0.00,,72.00,489.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N147PQ,4678,11433,1143302,31295,DTW,10257,1025702,30257,ALB,0705,0709,4.00,0.00,,66.00,489.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N147PQ,4939,11433,1143302,31295,DTW,11995,1199502,31995,GSO,1446,1440,0.00,0.00,,70.00,460.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N176PQ,4680,11986,1198603,31986,GRR,12953,1295304,31703,LGA,1835,,,1.00,C,,618.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N176PQ,5288,12953,1295304,31703,LGA,11986,1198603,31986,GRR,2010,,,1.00,C,,618.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N297PQ,5074,12478,1247805,31703,JFK,11433,1143302,31295,DTW,1715,1714,0.00,0.00,,85.00,509.00,0.00
2022,2,6,01/06/2022 12:00:00 AM,9E,N314PQ,5423,11433,1143302,31295,DTW,12478,1247805,31703,JFK,2108,,,1.00,C,,509.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N317CA,4713,14524,1452401,34524,RIC,11433,1143302,31295,DTW,1745,1742,0.00,0.00,,89.00,456.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N317CA,4732,10135,1013506,30135,ABE,11433,1143302,31295,DTW,0600,0554,0.00,0.00,,69.00,425.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N317CA,5299,11433,1143302,31295,DTW,14524,1452401,34524,RIC,1030,1026,0.00,0.00,,68.00,456.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N320PQ,4812,15412,1541205,35412,TYS,11433,1143302,31295,DTW,0730,0725,0.00,0.00,,71.00,443.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N320PQ,5452,11433,1143302,31295,DTW,12478,1247805,31703,JFK,1000,0955,0.00,0.00,,75.00,509.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N329PQ,4652,12339,1233904,32337,IND,11433,1143302,31295,DTW,0645,0640,0.00,0.00,,42.00,231.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N329PQ,5398,11433,1143302,31295,DTW,12478,1247805,31703,JFK,1604,1605,1.00,0.00,,79.00,509.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N330PQ,4883,11433,1143302,31295,DTW,11423,1142307,31423,DSM,2055,2054,0.00,0.00,,79.00,534.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N330PQ,4915,11423,1142307,31423,DSM,11433,1143302,31295,DTW,0635,0731,56.00,0.00,,73.00,534.00,0.00
2022,2,6,01/06/2022 12:00:00 AM,9E,N330PQ,5303,10257,1025702,30257,ALB,11433,1143302,31295,DTW,1310,1310,0.00,0.00,,81.00,489.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N330PQ,5303,11433,1143302,31295,DTW,10257,1025702,30257,ALB,1050,1049,0.00,0.00,,66.00,489.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N340CA,5124,12339,1233904,32337,IND,11433,1143302,31295,DTW,1904,1859,0.00,0.00,,40.00,231.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N340CA,5325,11433,1143302,31295,DTW,11193,1119302,33105,CVG,2110,2107,0.00,0.00,,44.00,229.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N605LR,4805,11433,1143302,31295,DTW,10135,1013506,30135,ABE,2125,2120,0.00,0.00,,84.00,425.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N605LR,5027,11193,1119302,33105,CVG,11433,1143302,31295,DTW,0605,0558,0.00,0.00,,43.00,229.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N605LR,5258,11193,1119302,33105,CVG,11433,1143302,31295,DTW,1021,1016,0.00,0.00,,43.00,229.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N605LR,5258,11433,1143302,31295,DTW,11193,1119302,33105,CVG,0825,0821,0.00,0.00,,41.00,229.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N605LR,5357,11423,1142307,31423,DSM,11433,1143302,31295,DTW,1415,1424,9.00,0.00,,71.00,534.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N605LR,5430,11433,1143302,31295,DTW,11423,1142307,31423,DSM,1215,1226,11.00,0.00,,84.00,534.00,0.00
2022,2,6,01/06/2022 12:00:00 AM,9E,N655CA,5342,10135,1013506,30135,ABE,11433,1143302,31295,DTW,1820,1816,0.00,0.00,,76.00,425.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N655CA,5528,11433,1143302,31295,DTW,10135,1013506,30135,ABE,1415,1432,17.00,0.00,,61.00,425.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N685BR,4888,10980,1098002,30980,CHA,11433,1143302,31295,DTW,1414,1424,10.00,0.00,,93.00,505.00,0.00
2022,2,6,01/06/2022 12:00:00 AM,9E,N685BR,5263,11433,1143302,31295,DTW,11203,1120302,30424,CWA,1830,1826,0.00,0.00,,63.00,363.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N801AY,4711,13184,1318403,33184,MBS,11433,1143302,31295,DTW,1845,1830,0.00,0.00,,27.00,98.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N801AY,4777,11433,1143302,31295,DTW,10469,1046902,30469,AZO,2255,2250,0.00,0.00,,25.00,113.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N801AY,4836,11433,1143302,31295,DTW,15412,1541205,35412,TYS,1025,1022,0.00,0.00,,64.00,443.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N801AY,4930,11433,1143302,31295,DTW,13184,1318403,33184,MBS,1605,1601,0.00,0.00,,29.00,98.00,
2022,2,6,01/06/2022 12:00:00 AM,9E,N801AY,5243,15412,1541205,35412,TYS,11433,1143302,31295,DTW,1315,1312,0.00,0.00,,76.00,443.00,
